name,l,b,n16,n50,n84,f16,f50,f84,m16,m50,m84,d16,d50,d84,p16,p50,p84,sfore16,sfore50,sfore84,sback16,sback50,sback84,mdwarf,new,Extinction,X,Y,Z,Vrad_observed,Vrad_observed_err,Vrad_predicted,Odds,ra,dec,rawwt
LBN942,205.6,-22.0,0.7125,0.7202,0.7278,0.1968,0.2672,0.271,7.0012,7.0515,7.1052,251,257,263,0.0135,0.0168,0.0205,0.0288,0.0359,0.0454,0.0329,0.0346,0.0363,0,1,1.08,-214,-102,-96,,,2.6,8.618201369,80.01797111,-3.755963796,260.01797111
LBN968,208.4,-28.4,0.5393,0.5536,0.5686,0.1247,0.1296,0.1334,7.4515,7.5208,7.6123,309,319,333,0.0198,0.0253,0.0316,0.0268,0.0337,0.0426,0.0479,0.0505,0.0533,0,1,0.53,-246,-133,-151,,,3.2,10.07069344,75.43619725,-8.917856134,255.43619725000002
LBN969,208.4,-22.2,0.841,0.8626,0.886,0.1309,0.1357,0.1397,7.1496,7.1946,7.2474,269,274,281,0.0202,0.0255,0.0325,0.0181,0.0219,0.0268,0.0225,0.0245,0.0267,1,1,0.55,-223,-120,-103,,,2.9,8.543627317,81.03441908,-6.15279133,261.03441908
LBN991,213.6,-28.9,0.5942,0.6062,0.6182,0.1573,0.1625,0.166,7.9668,8.0578,8.1604,392,408,428,0.015,0.0187,0.0232,0.0213,0.0261,0.0319,0.029,0.0309,0.0328,0,1,0.66,-297,-197,-197,,,4.6,10.64714912,76.93897751,-13.26491346,256.93897751
Lacerta,96.1,-10.2,0.7448,0.7479,0.7512,0.153,0.1539,0.1548,8.4915,8.5146,8.5428,499,504,511,0.0118,0.0139,0.0163,0.0352,0.0398,0.0462,0.0419,0.0428,0.0438,0,0,1.51,-52,493,-89,1.4,0.52,-1.6,1.06238959,334.338231,44.49667823,154.33823099999995
MonR2,213.0,-12.5,0.4077,0.4118,0.4161,0.4383,0.4428,0.4475,9.5067,9.515,9.5274,796,799,804,0.0319,0.0385,0.0463,0.0352,0.0385,0.042,0.0971,0.1,0.1031,0,1,1.81,-654,-424,-172,12.5,0.034,9.8,3.752175161,91.72793519,-5.723353142,271.72793519
Mon_R2,215.3,-12.9,0.5871,0.5905,0.5939,0.2183,0.2202,0.2221,9.3764,9.4255,9.4618,750,767,780,0.0257,0.0308,0.0369,0.057,0.0621,0.0678,0.0622,0.0644,0.0665,0,0,2.4,-610,-432,-171,10.7,0.079,9.8,10.09449605,92.36984859,-7.911519187,272.36984859
Mon_R2,219.2,-7.7,0.5527,0.555,0.5573,0.1974,0.1987,0.2,9.8616,9.8732,9.9542,938,943,979,0.034,0.0389,0.0443,0.0519,0.0557,0.0595,0.0566,0.0582,0.0598,0,0,2.24,-724,-590,-126,13.4,0.077,12.7,10.45235096,98.79995412,-9.055358274,278.79995412
Mon_R2,220.9,-8.3,0.5449,0.5473,0.55,0.1794,0.1807,0.1821,9.7996,9.8075,9.8208,911,915,920,0.0207,0.0243,0.0288,0.0499,0.0538,0.0578,0.0587,0.06,0.0617,0,0,2.05,-684,-592,-132,12.4,0.11,12.5,16.39390944,99.0106659,-10.83044129,279.0106659
Mon_R2,213.9,-11.9,0.4797,0.4842,0.4886,0.1662,0.1689,0.1715,9.4414,9.4846,9.5167,773,788,800,0.1092,0.1237,0.1376,0.0497,0.0546,0.0597,0.0671,0.071,0.0749,0,0,2.07,-639,-430,-162,11.5,0.042,9.8,5.91372077,92.6626303,-6.242642438,272.6626303
Mon_R2,219.3,-9.5,0.4598,0.4635,0.467,0.2786,0.2826,0.2864,9.7946,9.8278,9.851,909,923,933,0.082,0.0951,0.1109,0.0508,0.0546,0.0593,0.0839,0.088,0.0926,0,0,3.58,-704,-576,-152,12.2,0.067,12.4,10.15796681,97.20743221,-9.940095573,277.20743221
NorthAmerica,81.7,-1.7,0.5282,0.5313,0.5342,0.3493,0.3732,0.3967,9.6082,9.6538,9.6958,834,852,869,0.1376,0.1534,0.1723,0.0306,0.0363,0.0407,0.1188,0.1225,0.1271,0,1,4.61,122,842,-25,2.8,0.047,2.7,23.13668675,312.1238547,40.95693795,132.12385469999998
NorthAmerica,83.7,-2.1,0.5213,0.5243,0.5274,0.558,0.5952,0.6342,9.4288,9.464,9.4945,768,781,792,0.0499,0.0631,0.0768,0.0561,0.0616,0.0672,0.1249,0.1289,0.1333,0,1,5.55,85,775,-28,2.6,0.111,1.8,23.33616375,314.2449582,42.23754546,134.24495819999999
NorthAmerica,82.8,-2.1,0.5061,0.51,0.5136,0.4761,0.4994,0.5218,9.5068,9.5402,9.5721,796,809,821,0.0953,0.1138,0.1337,0.0373,0.0409,0.0443,0.1422,0.1471,0.1529,0,1,5.06,101,802,-29,4.5,0.07,2.2,23.33737572,313.4645351,41.55092452,133.46453509999998
NorthAmerica,84.6,0.1,0.2716,0.273,0.2744,0.3081,0.328,0.3488,9.4722,9.495,9.5172,784,792,800,0.2068,0.2269,0.2445,0.0288,0.0319,0.0357,0.0938,0.0975,0.102,0,1,5.03,74,788,1,-0.2,0.053,1.4,24.26974506,312.7243597,44.34113463,132.72435969999998
NorthAmerica,86.6,-2.1,0.578,0.5808,0.5834,0.733,0.7368,0.7403,9.2587,9.3211,9.4362,710,731,771,0.0274,0.0334,0.0399,0.0799,0.0923,0.1084,0.0756,0.0776,0.0797,0,1,2.98,43,729,-26,12.4,0.123,0.7,21.62763128,316.8829606,44.40954867,136.8829606
NorthAmerica,85.8,-2.2,0.5632,0.5654,0.5676,0.9251,0.9289,0.9325,9.5411,9.6075,9.654,809,834,852,0.0221,0.0284,0.0349,0.1819,0.1991,0.2137,0.0878,0.0898,0.0922,0,1,3.79,61,831,-32,12.5,0.121,0.9,21.21051206,316.2387391,43.75005326,136.23873909999998
NorthAmerica,84.8,-1.2,0.3944,0.3978,0.4011,0.3903,0.4169,0.4446,9.662,9.7179,9.7883,855,878,907,0.1505,0.1714,0.194,0.0327,0.0389,0.0462,0.1013,0.106,0.1117,0,1,4.58,79,874,-18,2.7,0.05,1.3,21.92066843,314.2870177,43.65811725,134.28701769999998
NorthAmericaNebula,85.3,-0.8,0.425,0.4275,0.43,0.3471,0.4388,0.8645,9.3855,9.4733,9.7773,753,784,902,0.0474,0.0592,0.0718,0.0388,0.0518,0.1461,0.1039,0.1069,0.11,0,1,3.51,64,781,-10,,,1.1,24.3620597,314.3168659,44.29800905,134.31686589999998
NorthAmericaNebula,84.2,-1.3,0.4741,0.4758,0.4776,0.4089,0.4338,0.4603,9.5093,9.546,9.5647,797,811,818,0.0888,0.1011,0.1141,0.0388,0.0418,0.0452,0.0991,0.1018,0.1049,0,1,5.1,81,806,-18,2.4,0.093,1.6,24.67774965,313.856548,43.13658232,133.85654799999998
